dyad_id,negotiation_id,side_a,side_b,description,start_negotiations_year,start_negotiations_month,end_negotiations_year,end_negotiations_month,location_negotiations,bilateral_negotiations,mediated_negotiations,third_party,local_government,government,president,political_party,government_forces,police,armed_group,local_ngo,community_leaders,religious_leaders,traditional_leaders,local_committee,international_ngo,foreign_government,regional_organization,international_organization,peacekeeping,other,agreement,peace_agreement,ceasefire,agreement_name,day_agreement,month_agreement,year_agreement,best_fatality_estimate,active,low,none
15793,15793-3,Bassa Kwomu,Egbura Mozum,"After the two communities clashed from January to March 2019, the Nigerian arm began to disarm the conflict parties. Moreover, the governor of Nasarawa state and Major General Adeyemi Yekini convened a peace meeting at the government house in Lafia on 26 March 2019. The heads of security agencies in the state, political officials, the Chairman of the Toto local government council, and traditional rulers also took part in the meeting. The peace meeting led to the signing of an eleven-point peace agreement in which the conflict parties agreed to a ceasefire and for the army to disarm the groups of their illegal weapons. In addition, the tribes pledged to establish Joint Peace Reconciliation Committees.",2019,3,2019,3,Nigeria,0,1,local government; government forces; traditional leaders,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,peace agreement,26,3,2019,25,1,0,0
15767,15767-1,Biide subclan of Habar Jeclo (Isaaq),Sa'ad subclan of Habar Yonis (Isaaq),"The conflict between the Biide and Saad subclans in Somaliland is rooted within the long-standing rivalry between the Habar Jeclo and Habar Yonis. The election of Muse Bihi Abdi in November 2017 as Somaliland’s president exacerbated tensions between the two subclans: while the Habar Jeclo supported Muse Bihi Abdi, the Habar Yonis opposed Muse Bihi Abdi. A round of bilateral negotiations between the Biide and Sa’ad in Somaliland in November 2019 led to the conclusion of a peace agreement. However, the agreement already broke down in December 2019.",2019,11,2019,11,Somalia,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,peace agreement,,11,2019,32,1,0,0
15721,15721-1,Jie,Murle,"In May 2014, the South Sudanese government and the South Sudan Democratic Movement/Army (SSDM/A) – Cobra led by David Yau Yau signed a peace agreement which stipulated the formation of the formation of a new Greater Pibor Administrative Area (GPAA). This led to widespread grievances among the Jie. Not being a signatory to the peace agreement, the Jie residing in the Pibor area wanted a country independent of the GPAA. Responding to growing tensions, the US company AECOM organized a peace meeting in Boma involving Murle, Jie, Kachipo, and Toposa representatives. Several resolutions on peaceful relations were adopted at the meeting, but animosity between the Jie and the Murle persisted.",2014,5,2014,5,South Sudan,0,1,AECOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,resolutions,,5,2014,0,0,0,1
15721,15721-2,Jie,Murle,"The animosity escalated into armed violence on 6 July 2018, when the Murle community attacked the neighboring Jieh community in the border area of Boma and Kapoeta. The Murle attack was in response to a dispute over access to land and water resources. Government officials and army generals in Juba allegedly supported the Murle in their attack on the Jie. Boma State governor David Yau Yau met with the conflict parties in conflict area on 9 July 2018.",2018,7,2018,7,South Sudan,0,1,local government,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,182,1,0,0
15617,15617-1,FPRC,MPC,"Building on negotiations mediated by Russia and Sudan in August 2018, a mediation effort led by the AU in Khartoum from 24 January to 5 February 2019 led to the conclusion of the Accord politique pour la Paix et la Réconciliation (APPR) signed in Bangui on 6 February 2019. The agreement offered far more government posts to representatives of the armed groups than in previous agreements. The agreement was signed by the anti-Balaka-Mokom, anti-Balaka-Ngaïssona, FDPC, FPRC, MPC, MLCJ, RPRC, 3R, RJ-Belanga, RJ-Aile Sayo, Séléka Rénovée, UFR, UFR-F, and the UPC. ",2019,1,2019,2,Sudan,0,1,AU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Accord politique pour la Paix et la Réconciliation (APPR),6,2,2019,0,0,0,1
15617,15617-2,FPRC,MPC,"The Centre for Humanitarian Dialogue (HD) and MINUSCA, with support from local officials and traditional and religious leaders, mediated a round of negotiations between the UPC, MPC, RPRC, MLJC, anti-Balaka-Molokom, and FPRC in Bria from 1 to 9 April 2019. This led to the signing of the Bria Accord on 9 April 2019. This local agreement was aimed at reinforcing the implementation of the 6 February 2019 national agreement. The agreement stipulated a ceasefire to end to the violence in Haute-Kotto and Ouaka prefectures, as well as guaranteed the safe and free movement of persons, goods, and humanitarian aid on the main axis.",2019,4,2019,4,Central African Republic,0,1,Centre for Humanitarian Dialogue (HD); MINUSCA; local government; traditional leaders; religious leaders,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,Bria Accord,9,4,2019,0,0,0,1
15564,15564-1,Benghazi Revolutionaries Shura Council,LNA,"The Benghazi Revolutionaries Shura Council formed in June 2014, following Khalifa Haftar’s Operation Dignity assault on the Islamist presence in Libya. Islamist groups such as the February 17th Martyrs Brigade, the Rafallah al-Sahati Brigade, and the Ansar al-Sharia in Libya (ASL) united to combat Haftar’s Libyan National Army (LNA). The United Nations Support Mission in Libya (UNSMIL) mediated negotiations between the conflict parties on 19 November 2014, which led to the conclusion of a humanitarian ceasefire for 12 hours. ",2014,11,2014,11,Libya,0,1,UNSMIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,ceasefire,19,11,2014,284,1,0,0
15564,15564-2,Benghazi Revolutionaries Shura Council,LNA,"UNSMIL supported local mediation efforts between the conflict parties in 2016. On 10 December 2016, the LNA declared a six-hour unilateral ceasefire for citizen evacuation.",2016,,2016,,Libya,0,1,UNSMIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,0,1
15564,15564-3,Benghazi Revolutionaries Shura Council,LNA,UNSMIL supported local mediation efforts between the conflict parties in 2017.,2017,,2017,,Libya,0,1,UNSMIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,0,0,0,1
15499,15499-1,CMA,MSA,"On 27 and 28 September 2015, a CMA delegation held meetings with President Ibrahim Boubacar Keïta and the leaders of the Platform in Bamako. Following the meetings, CMA announced that it would stick to the ceasefire and order its combatants to refrain from using force against the troops of the Government forces and Platform.",2015,9,2015,9,Mali,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1
15499,15499-2,CMA,MSA,"Between 27 September and 14 October 2015, CMA and the Platform engaged in direct talks in Anéfis. At the end of the talks, the parties endorsed a road map – the Anefis road map – comprising a series of measures, including the cessation of hostilities, joint initiatives for intercommunal and intra-communal reconciliation, the exchange of prisoners, the establishment of interim local administrations and the free movement of people and goods. During and following the Anéfis talks, CMA and the Platform mediated a series of intercommunal and intra-communal reconciliation agreements in Gao, Kidal and Timbuktu regions, including between the Ifoghas and Imghad Tuareg communities affiliated with CMA and the Platform, respectively. ",2015,9,2015,10,Mali,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Anéfis Road Map,14,10,2015,0,0,0,1
15499,15499-3,CMA,MSA,"In 2019, the CMA and a faction of MSA came into conflict over control of Talataye, an area that both parties valued for its trade routes. In January 2019, the CMA represented by Salah Ag Ahmed and Alhousseiny Ag Ahmedou and the MSA represented by Mohamed Ag Kassoum engaged in bilateral negotiations, which led to the conlusion of a peace agreement on 20 January 2019. However, fighting resumed the next month.",2019,1,2019,1,Mali,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,peace agreement,20,1,2019,31,1,0,0
15499,15499-4,CMA,MSA,Another round of bilateral negotiations in Tinfadimata in May 2019 led to the conclusion of a peace agreement on 21 May 2019.,2019,5,2019,5,Mali,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,peace agreement,21,5,2019,31,1,0,0
15497,15497-1,CMC,Mayi Mayi Mazembe,"Located in the Ituri region, a coalition of Hutu groups are collectively referred to as the Collectif des mouvements pour le changement (CMC) (English: Coalition for movements of change). The CMC’s mission statement is to bring the end of rule by Joseph Kabila and the corrupt government structures. In February 2018, the CMC clashed with Mayi-Mayi Mazembe, a widespread alliance of local self-defence forces. In July 2018, the two groups met to negotiate, but no peace accord was concluded.",2018,7,2018,7,DR Congo (Zaire),1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,25,1,0,0
15462,15462-1,Arab Brabich,Idnan (Tuareg),"The Arab Brabich and Idnan (Tuareg) coexisted in Bordj Badji Mokhtar, a town near the border of Algeria and Mali. A failed robbery attempt triggered an armed conflict between the two groups. Negotiations, mediated by representatives of government forces, led to a reconciliation agreement on 17 August 2013. ",2013,8,2013,8,Algeria,0,1,government forces,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,peace agreement,17,8,2013,27,1,0,0
15462,15462-2,Arab Brabich,Idnan (Tuareg),"On 19 August, local authorities from Regnae arrived to mediate between the conflict parties.",2013,8,2013,8,Algeria,0,1,local government,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,27,1,0,0
15462,15462-3,Arab Brabich,Idnan (Tuareg),"On 21 August, a local peace committee with members from both tribes held a meeting with community members, as well as religious, local, and regional authorities in the town. At this meeting, the Arab Brabich and Idnan signed the Document d’initiation au dialogue pour réhabiliter le calme et cesser l’effusion du sang afin d’atteindre la reconciliation.",2013,8,2013,8,Algeria,0,1,local peace committee; religious leaders; traditional leaders; local government,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,Document d’initiation au dialogue pour réhabiliter le calme et cesser l’effusion du sang afin d’atteindre la reconciliation,21,8,2013,27,1,0,0
15432,15432-1,"Anti-Balaka - Mokom, FPRC, MPC, RPRC",UPC (Ali Darass Fulani supporters),"In March 2017, the Community of Sant’Egidio started a mediation process, with Andrea Riccardi acting as the chief mediator. UN envoy Parfait Onanga-Anyanga, the European Union, and the Italian Government had an observer status during the negotiations. With peace talks ongoing in Rome, FPRC fighters launched an offensive against anti-Balaka elements in Bakouma on 6 June 2017, following an anti-Balaka attack on Nzako. This persuaded the conflict parties at the negotiations to sign a peace agreement on 19 June 2017, stipulating an immediate ceasefire. This agreement, referred to as the Political Agreement for Peace in the Central African Republic, was signed by the RPRC, FPRC, FDPC, UPC, RPRC, RJ BELANGA, UFR-F, UPC, RJ SAYO, UFR-F, FPRC, UFR, RJ SAYO, MPC, SELEKA Renovee, Coordination anti-Balaka, anti-Balaka Mokom, MLJC, RJ Belanga, FDPC, MLJC, and the UFR. The agreement reaffirmed the 2016 elections. In addition, the agreement called for the integration of all “politico-military groups” into the peace process and a restoration of state authority. The agreement also included an immediate countrywide ceasefire. The ceasefire did not hold. Armed clashes between several armed groups already took place in the Bria area already one day after the signing of the ceasefire. ",2017,3,2017,6,Italy,0,1,Community of Sant'Egidio; UN; EU; Italy,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,Political Agreement for Peace in the Central African Republic,19,6,2017,30,1,0,0
15432,15432-2,"Anti-Balaka - Mokom, FPRC, MPC, RPRC",UPC (Ali Darass Fulani supporters),"On 28 June, President Faustin Archange Touadéra held meetings with the representatives of the 14 armed groups that peace agreement signed in Rome on 19 June.",2017,6,2017,6,Central African Republic,0,1,President,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,30,1,0,0
15432,15432-3,"Anti-Balaka - Mokom, FPRC, MPC, RPRC",UPC (Ali Darass Fulani supporters),"With it being clear that the Political Agreement for Peace in the Central African Republic of June 2017 did not succeed, the AU presented its roadmap for peace in Libreville on 17 July 2017. The roadmap agreement assigns the responsibility for leading peace negotiations in CAR to the AU, while pledging to take into account the achievements of previous peace initiatives including the June 2017 Sant’Egidio Agreement. The Roadmap created an African Panel of Facilitators, with panel members from the AU, ECCAS, the International Conference on the Great Lakes Region, Angola, Chad, the Republic of Congo, and Gabon. MINUSCA was granted observer status. The African Panel of Facilitators mediated for the first time Bangui between 11 and 12 September 2017. ",2017,9,2017,9,Central African Republic,0,1,African Panel of Facilitators; MINUSCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,,,,30,1,0,0
15432,15432-4,"Anti-Balaka - Mokom, FPRC, MPC, RPRC",UPC (Ali Darass Fulani supporters),"On 27 June 2017, the Prefect of Haute-Kotto set up a mediation committee to resolve the conflict. MINUSCA pledged to support the committee’s efforts. The UPC and the FPRC entered into negotiations mediated by Christian and Muslim religious leaders in Bria on 17 September 2017. On 21 September 2017, a team of emissaries from Bangui and Birao arrived in Bria to take over the mediation process from the religious leaders. This paved the way for negotiations in Ippy. ",2017,9,2017,9,Central African Republic,0,1,religious leaders; government; local government,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,30,1,0,0
15432,15432-5,"Anti-Balaka - Mokom, FPRC, MPC, RPRC",UPC (Ali Darass Fulani supporters),"On 2 October 2017, Abdoulaye Hissene, leader of a faction of the FPRC, arrived in Ippy to conduct negotiations with anti-Balaka-Mokum and the UPC concerning the conclusion of a ceasefire in the region. While the emissaries from Bangui and Birao mediated between the conflict parties, civil society leaders and a community liaison assistant from MINUSCA civil affairs and representatives of the MINSUCA force also participated in the peace meeting in Ippy. On 6 October 2017, the anti-Balaka-Mokom, UPC, and FPRC signed the Ippy Accord. This agreement led to renewed UPC dominance. In addition to this local peace process aimed at ending violence between the conflict parties in the Bambari area, the conflict parties were involved in a national-level peace process in 2017.",2017,10,2017,10,Central African Republic,0,1,government; local government; MINUSCA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,Ippy Accord,6,10,2017,30,1,0,0
15432,15432-6,"Anti-Balaka - Mokom, FPRC, MPC, RPRC",UPC (Ali Darass Fulani supporters),"In mid-April 2018, the FPRC once more organized a conference to unify the ex-Seleka movement, negotiating with the UPC and the MPC in Kaga Bandoro, but the conference did not lead to an agreement. ",2018,4,2018,4,Central African Republic,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1
15432,15432-7,"Anti-Balaka - Mokom, FPRC, MPC, RPRC",UPC (Ali Darass Fulani supporters),"On 28 August 2018, Russia – which had begun supplying the CAR government with arms and military instructors in February 2018 – and Sudan mediated negotiations between the FPRC, UPC, and MPC on the one side and the anti-Balaka (represented by Maxime Mokom) on the other side. These negotiations led to the signing of declaration of understanding and a pledge to support the African Initiative for Peace and Reconciliation in CAR led by the AU and regional states with the support of the UN. The UPC and MPC expressed they were no longer committed to this declaration in October 2018, but they made it clear that they still supported the African Initiative. Furthermore, the AU, with support from MINUSCA, organized a meeting between 14 armed groups in Bouar between 28 and 30 August. The meeting produced a document with demands to the government, signed by all 14 groups that participated in the meeting. The document was handed over to the government following the meeting. ",2018,8,2018,8,Central African Republic,0,1,Russia; Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Declaration of Understanding,28,8,2018,0,0,0,1
15432,15432-8,"Anti-Balaka - Mokom, FPRC, MPC, RPRC",UPC (Ali Darass Fulani supporters),"Building on negotiations mediated by Russia and Sudan in August 2018, a mediation effort led by the AU in Khartoum from 24 January to 5 February 2019 led to the conclusion of the Accord politique pour la Paix et la Réconciliation (APPR) signed in Bangui on 6 February 2019. The agreement offered far more government posts to representatives of the armed groups than in previous agreements. The agreement was signed by the anti-Balaka-Mokom, anti-Balaka-Ngaïssona, FDPC, FPRC, MPC, MLCJ, RPRC, 3R, RJ-Belanga, RJ-Aile Sayo, Séléka Rénovée, UFR, UFR-F, and the UPC ",2019,1,2019,2,Sudan,0,1,AU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,Accord politique pour la Paix et la Réconciliation (APPR),6,2,2019,0,0,0,1
15432,15432-9,"Anti-Balaka - Mokom, FPRC, MPC, RPRC",UPC (Ali Darass Fulani supporters),"The Centre for Humanitarian Dialogue (HD) and MINUSCA, with support from local officials and traditional and religious leaders, mediated a round of negotiations between the UPC, MPC, RPRC, MLJC, anti-Balaka-Molokom, and FPRC in Bria from 1 to 9 April 2019. This led to the signing of the Bria Accord on 9 April 2019. This local agreement was aimed at reinforcing the implementation of the 6 February 2019 national agreement. The agreement stipulated a ceasefire to end to the violence in Haute-Kotto and Ouaka prefectures, as well as guaranteed the safe and free movement of persons, goods, and humanitarian aid on the main axis.",2019,4,2019,4,Central African Republic,0,1,Centre for Humanitarian Dialogue (HD); MINUSCA; local government; traditional leaders; religious leaders,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,Bria Accord,9,4,2019,0,0,0,1
15425,15425-1,"Bambuti, Batwa",Batabwa,"The conflict in between Batabwa on the one side and the Bambuti and the Batwa on the other side should be seen in the context of a broader conflict between the Bantu (including Baluba, Batabwa, and Bazela) and Pygmies (Batwa and Bambuti) in the Tanganyika province. The Batabwa attacked the Batwa and Bambuti in the Moba and Kalemie localities on 13 January 2017, resulting in at least 600 deaths. Negotiations in Miketo, facilitated by MONUSCO, led to the signing of a peace agreement on 20 January. MONUSCO agreed to support the implementation of this agreement. On 22 February 2017, the Deputy Prime Minister and Minister of the Interior and Security, Emmanuel Ramazani Shadary, arrived in Kalemie, the capital of Tanganyika, to discuss the recent fighting between the Pygmies and the Bantu. According to a civil society organization which attended the meeting, this meeting did not help to resolve the conflict because no representatives of the conflict parties were invited to participate in the meeting. Fighting continued. ",2017,1,2017,1,DR Congo (Zaire),0,1,MONUSCO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,peace agreement,20,1,2017,27,1,0,0
15425,15425-2,"Bambuti, Batwa",Batabwa,"On 24 February, following a mediation effort by the Congolese authorities, the leaders of the communities signed a Peaceful Coexistence pact in Kalemie of the Tanganyika province. The Batabwa on the one side and the Bambuti and the Batwa on the other side did not engage in any armed clashes after the signing of this pact. ",2017,2,2017,2,DR Congo (Zaire),0,1,government,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Peaceful Coexistence pact,24,2,2017,27,1,0,0
15344,15344-1,NAS,SPLM/A - IO,"The South Sudanese government and the SPLM/A-IO signed a peace agreement in Addis Ababa on 12 September 2018, referred to as the Revitalized Agreement on the Resolution of the Conflict in the Republic of South Sudan (R-ARCSS). Following the signing of the R-ARCSS, the South Sudanese government and SPLM/A-IO representatives continued engagement to persuade the NAS to sign and implement the agreement. During a meeting in Texas on 23 September 2018, the NAS leader said his group is not committed to the ceasefire in South Sudan even if their group is a signatory to the security arrangements.",2018,9,2018,9,United States,0,1,US,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,,51,1,0,0
15335,15335-1,Pakam Dinka,Rup Dinka,"Both being pastoral groups, the Pakam Dinka and Rup Dinka clashed over cattle in December 2017. Security chiefs from both groups were brought together to discuss the violence that same month.",2017,12,2017,12,South Sudan,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,172,1,0,0
