conflict_id,dyad_id,negotiation_id,side_a,side_b,description,location_negotiations,start_negotiations_year,start_negotiations_month,end_negotiations_year,end_negotiations_month,third_party,local_ngo,international_ngo,regional_organization,un,foreign_government,individual,national_committee,language_organization,other,bilateral_negotiations,mediated_negotiations,agreement,peace_agreement,ceasefire,agreement_name,date_agreement_year,date_agreement_month,date_agreement_day,best_fatality_estimate,active,low,none
283,585,585-10,DR Congo (Zaire),MLC,"In 2002, the Inter-Congolese Dialogue continued. Talks started in Sun City, South Africa, on 25 February, but these broke down after one day, when the MLC boycotted the meeting. ",South Africa,2002,2,2002,2,Switzerland; South Africa; Zambia; Nigeria; Malawi; OAU; UN,0,0,1,1,1,0,0,0,0,0,1,0,0,0,,,,,0,0,0,1
283,585,585-11,DR Congo (Zaire),MLC," Talks resumed on 5 March, although accusations of ceasefire violations in Moliro overshadowed the talks. The 362 delegates in Sun City split into five different committees to negotiate on political and legal matter; security and defense; social, cultural, and humanitarian affairs; economy and finance; and finally, peace and reconciliation.",South Africa,2002,3,2002,3,Switzerland; South Africa; Zambia; Nigeria; Malawi; OAU; UN,0,0,1,1,1,0,0,0,0,0,1,0,0,0,,,,,0,0,0,1
283,585,585-12,DR Congo (Zaire),MLC," On 17 March, RCD unilaterally declared a ceasefire, providing an incentive for the Congolese government to continue participation in the talks. On 9 April 2002, the talks moved forward, among other due to MLC accepting Joseph Kabila as the President during the interim period, which was the result of bilateral talks between the two parties. On 19 April, a partial peace agreement was signed between the rebel factions and Kabila, referred to as the Political Agreement on Consensual Management of the Transition in the DRC or “Sun City Accord”, which was supported by more than 70 per cent of the delegates. Yet, the Rwandan-supported RCD wing rejected the agreement insisting that they deserved the position of the prime minister, which the agreement had been accorded to MLC leader Bemba. ",South Africa,2002,4,2002,4,Switzerland; South Africa; Zambia; Nigeria; Malawi; OAU; UN,0,0,1,1,1,0,0,0,0,0,1,1,1,0,Sun City Accord,2002,4,19,0,0,0,1
283,585,585-13,DR Congo (Zaire),MLC,"To move the peace process forward, the UN Secretary-General mandated Moustapha Niasse as his Special Envoy to the DRC to mediate a comprehensive peace agreement. Niasse conducted three missions in the region between June and October during which he consulted with the main rebel leaders and the government officials. Importantly, on 30 July 2002, Rwandan and Congolese presidents, Kagame and Kabila signed an accord in Pretoria under Mbeki’s watch. Kabila pledged to disarm and arrest Rwandan Hutu militias in return for Rwandan troops withdrawing. Moreover, on 6 September 2002, Uganda and the DRC signed the Luanda agreement hosted by President Dos Santos, which decided on the withdrawal of Ugandan forces from the Congolese territory within three months. In November, another round of talks began, resulting in the conclusion of the Global and Inclusive Agreement on the transition in the Democratic Republic of Congo in Pretoria on 17 December 2002. In addition to the conflict parties, the political opposition and civil society, with the latter referred to as the forces vives, participated in the Inter-Congolese Dialogue.",South Africa,2002,12,2002,12,Switzerland; South Africa; Zambia; Nigeria; Malawi; OAU; UN,0,0,1,1,1,0,0,0,0,0,1,1,1,0,Global and Inclusive Agreement on the transition in the Democratic Republic of Congo,2002,12,17,0,0,0,1
283,586,586-1,DR Congo (Zaire),RCD,"On 2 August 1998, in a radio broadcast, Sylvain Mbuchi, the commander of the 10th battalion of the national Congolese army, rejected President Kabila’s authority and called for his departure, urging all Congolese citizens to rise up against Kabila. Mbuchi subsequently announced the formation of the Rassemblement Congolais pour la Démocratie (RCD) (English: Congolese Rally for Democracy). The political wing behind the movement involved a group of people discontented with Kabila, including former Mobutists, former AFDL rebels, as well as opposition politicians. Both Rwanda and Uganda supported the creation of the movement. In response to the outbreak of this armed conflict, Nelson Mandela, as the chairman of SADC, tried to broker peace talks at an emergency summit of SADC leaders that was convened in Pretoria on 23 August 1998, but without success. President Kabila stated that he doubted whether Mandela was neutral. ",South Africa,1998,8,1998,8,SADC,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,2894,1,0,0
283,586,586-2,DR Congo (Zaire),RCD,"On 7 and 8 September 1998, the Presidents of Zimbabwe, Uganda, Rwanda, Angola, Namibia, and the DRC met in Victoria Falls, Zimbabwe, to discuss how to resolve the conflict. They actors present agreed on a ceasefire between Rwanda, Uganda, and the DRC. Zambian President Frederick Jacob Titus Chiluba was mandated as mediator at this meeting, after which he was formally authorized to act as mediator in the conflict at the annual SADC meeting on 15 September 1998. The RCD was not invited to participate in the talks at Victoria Falls. As a consequence, the RCD leadership immediately rejected the ceasefire agreed in Victoria Falls. The RCD was not invited to peace talks organized in Addis Ababa on 10 September by the Organization of African Unity either. Yet, a few weeks later, Libyan head of state al-Gaddafi, acting on his own, mediated talks in Libya between President Kabila and RCD officials. Ugandan President Museveni also participated in these talks. However, no real progress was made, as Kabila continued to insist on the withdrawal of Ugandan and Rwandan troops before he would consider signing a ceasefire. On 27 October 1998, Chiluba was officially mandated to further press on with a peace initiative to end the war after consultations between regional foreign and defence ministers. ",Libya,1998,9,1998,9,Libya,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,2894,1,0,0
283,586,586-3,DR Congo (Zaire),RCD,"In early 1999, a consultative meeting with the states in the region was held in Lusaka under the auspices of Zambian President Frederick Jacob Titus Chiluba, who had been mandated as the chief mediator in October 1998. Libyan President al-Gaddafi continued his mediating efforts between Kabila and Museveni in Sirte on 18 April 1999, but none of the rebel factions were involved in these talks. Nevertheless, progress was made. President Kabila promised to start negotiations with Congolese rebels, while President Museveni promised to withdraw Uganda’s troops. Consequently, the Government of the DRC and the three rebel groups – the RCD, the RCD-ML, and the MLC – as well as Uganda, Rwanda, Angola, Namibia, Zambia, and Zimbabwe met in Lusaka in July, which led to the signing of the Lusaka Accord by the regional states on 10 July 1999, but RCD and MLC initially refuse to sign. The MLC signed the agreement on 1 August. On 31 August, after intense diplomatic pressure, all 50 founding members of the fractious RCD signed. Rebel leader Emile Ilunga and 41 of his deputies signed on behalf of the RCD. This was a compromise following dispute between the two RCD factions about which group had the right to sign.",Zambia,1999,7,1999,8,OAU; Zambia,0,0,1,0,1,0,0,0,0,0,1,1,1,0,Lusaka Accord,1999,8,31,1146,1,0,0
283,586,586-4,DR Congo (Zaire),RCD,"Several preparatory meetings were held in early 2000. On 8 April 2000, the parties to the Lusaka agreement accepted a disengagement plan in Kampala in which they agreed to retreat their forces 15 km behind the frontlines. ",Uganda,2000,4,2000,4,OAU,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,905,1,0,0
283,586,586-5,DR Congo (Zaire),RCD,"On 4 May 2000, the three Congolese insurgent parties renewed their commitment to the Inter-Congolese Dialogue. The preparatory committee of the Inter-Congolese Dialogue subsequently continued to work on finding consensus on how the peace talks would proceed. After it was decided which parties should participate in the Inter-Congolese Dialogue, the Government of the DRC suggested that the dialogue should be held in Kinshasa, but this suggestion was rejected by Masire. The Government became increasingly critical toward Masire, which eventually led to a declaration in which they stated to have lost their confidence in the Organization of African Unity mediator. Kabila considered him persona non grata and reportedly closed his offices in Kinshasa.",,2000,5,2000,5,OAU,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,905,1,0,0
283,586,586-6,DR Congo (Zaire),RCD,"As a result, the Government boycotted a round of consultations organized by Masire in Benin in June. ",Benin,2000,6,2000,6,OAU,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,905,1,0,0
283,586,586-7,DR Congo (Zaire),RCD,"By August, the parties had managed to agree on an agenda, the structure, the rules, the place, and the dates of the dialogue. In mid-October 2000, a regional summit was held in Mozambique hosted by Mozambican President, Joaquim Chissano, where the agreement that all fighters should withdraw 15 km from their positions was reiterated. Within the same month, South African President Thabo Mbeki managed to secure agreement to this withdrawal plan from all the rebel parties. ",Mozambique,2000,10,2000,10,OAU,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,905,1,0,0
283,586,586-8,DR Congo (Zaire),RCD,"On 6 December 2000, RCD and the Congolese government both committed to a ceasefire agreement, the so-called Harare disengagement plan. In it, they reiterated the observation of the ceasefire, the retreat of troops 15 km behind the frontlines, the deployment of a peacekeeping force, and the withdrawal of foreign troops. This allowed the UN Security Council to adopt resolution 1332. ",,2000,12,2000,12,OAU,0,0,1,0,0,0,0,0,0,0,1,1,1,0,Harare disengagement plan,2000,12,6,905,1,0,0
283,586,586-9,DR Congo (Zaire),RCD,"On 15 February 2001, all parties to the conflict met in Lusaka and agreed once again to disengage to positions occupied by their forces in May 2000. However, no timetable for the withdrawal was set. Moreover, Uganda and Rwanda insisted on maintaining a presence in the DRC until the ADF and Hutu militias were removed, while Kabila’s foreign allies refused to withdraw until Uganda, Rwanda and Burundi had moved out their troops from the DRC. When Laurent Kabila was assassinated on 16 January 2001, his son succeeded. He had a more welcoming attitude towards Masire. In early March 2001, Joseph Kabila invited Masire to Kinshasa and  promised to resume discussions with the mediator in the Inter-Congolese Dialogue. ",Zambia,2001,2,2001,2,OAU,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,454,1,0,0
283,586,586-10,DR Congo (Zaire),RCD,"On the initiative of South Africa, the conflict parties (including the Mayi-Mayi militias) met in a closed-door meeting at Shumba Village (between Pretoria and Johannesburg) in April 2001.",South Africa,2001,4,2001,4,South Africa; OAU,0,0,1,0,1,0,0,0,0,0,1,0,0,0,,,,,454,1,0,0
283,586,586-11,DR Congo (Zaire),RCD,"On 4 May 2001, representatives of the DRC Government and the principal rebel factions signed the Declaration of Fundamental Principles for the Inter-Congolese dialogue in Lusaka.",Zambia,2001,5,2001,5,OAU,0,0,1,0,0,0,0,0,0,0,1,1,1,0,Declaration of Fundamental Principles,2001,5,4,454,1,0,0
283,586,586-12,DR Congo (Zaire),RCD,"In late August 2001, the parties met in Botswana and agreed that the official Inter-Congolese dialogue was to commence in mid-October in the Ethiopian capital Addis Ababa. Attempting to outline areas of agreement, the Congolese government and RCD along with Mouvement pour la Liberation du Congo (MLC) signed the Acte d’Engagement in Gaborone on 24 August with Botswanan president Ketumile Masire acting as the lead mediator.",Botswana,2001,8,2001,8,Botswana; OAU,0,0,1,0,1,0,0,0,0,0,1,1,0,1,Acte d’Engagement,2001,8,24,454,1,0,0
283,586,586-13,DR Congo (Zaire),RCD,"A subsequent preparatory meeting was held in Abuja in September before the dialogue opened in Addis Ababa on October 15, 2001. However, Kabila and MLC leader Bemba failed to attend the October meeting in Ethiopia. Furthermore, RCD boycotted the opening ceremony. Consequently, the talks at Addis Ababa only lasted for five days instead of the proposed 45 days.  The mediation effort was also plagued by financial problems. Donors had pledged $5 million for Masire’s office, but only $250,000 had been forthcoming for the Addis Ababa meeting. This forced the mediation team to ask the conflict parties to reduce their delegations at the very last minute.",Nigeria,2001,9,2001,9,OAU,0,0,1,0,0,0,0,0,0,0,1,0,0,0,,,,,454,1,0,0
283,586,586-14,DR Congo (Zaire),RCD,"In 2002, the Inter-Congolese Dialogue continued. Talks started in Sun City, South Africa, on 25 February, but these broke down after one day, when the MLC boycotted the meeting. ",South Africa,2002,2,2002,2,Switzerland; South Africa; Zamiba; Nigeria; Malawi; OAU; UN,0,0,1,1,1,0,0,0,0,0,1,0,0,0,,,,,0,0,0,1
283,586,586-15,DR Congo (Zaire),RCD,"However, talks resumed on 5 March, although accusations of ceasefire violations in Moliro overshadowed the talks. The 362 delegates in Sun City split into five different committees to negotiate on political and legal matter; security and defense; social, cultural, and humanitarian affairs; economy and finance; and finally, peace and reconciliation. On 17 March, RCD unilaterally declared a ceasefire, providing an incentive for the Congolese government to continue participation in the talks.",South Africa,2002,3,2002,3,Switzerland; South Africa; Zamiba; Nigeria; Malawi; OAU; UN,0,0,1,1,1,0,0,0,0,0,1,0,0,0,,,,,0,0,0,1
283,586,586-16,DR Congo (Zaire),RCD,"On 9 April 2002, the talks moved forward, among other due to MLC accepting Joseph Kabila as the President during the interim period, which was the result of bilateral talks between the two parties. On 19 April 2002, a partial peace agreement was signed between the rebel factions and Kabila, referred to as the Political Agreement on Consensual Management of the Transition in the DRC or “Sun City Accord”, which was supported by more than 70 per cent of the delegates. Yet, the Rwandan-supported RCD wing rejected the agreement insisting that they deserved the position of the prime minister, which the agreement had been accorded to MLC leader Bemba.",South Africa,2002,4,2002,4,Switzerland; South Africa; Zamiba; Nigeria; Malawi; OAU; UN,0,0,1,1,1,0,0,0,0,0,1,1,1,0,Sun City Accord,2002,4,19,0,0,0,1
283,586,586-17,DR Congo (Zaire),RCD,"To move the peace process forward, the UN Secretary-General mandated Moustapha Niasse as his Special Envoy to the DRC to mediate a comprehensive peace agreement. Niasse conducted three missions in the region between June and October during which he consulted with the main rebel leaders and the government officials. Importantly, on 30 July 2002, Rwandan and Congolese presidents, Kagame and Kabila signed an accord in Pretoria under Mbeki’s watch. Kabila pledged to disarm and arrest Rwandan Hutu militias in return for Rwandan troops withdrawing. Moreover, on 6 September 2002, Uganda and the DRC signed the Luanda agreement hosted by President Dos Santos, which decided on the withdrawal of Ugandan forces from the Congolese territory within three months. In November, another round of talks began, resulting in the conclusion of the Global and Inclusive Agreement on the transition in the Democratic Republic of Congo in Pretoria on 17 December 2002. In addition to the conflict parties, the political opposition and civil society, with the latter referred to as the forces vives, participated in the Inter-Congolese Dialogue.",South Africa,2002,11,2002,12,Switzerland; South Africa; Zamiba; Nigeria; Malawi; OAU; UN,0,0,1,1,1,0,0,0,0,0,1,1,1,0,Global and Inclusive Agreement on the transition in the Democratic Republic of Congo ,2002,12,17,0,0,0,1
283,586,586-18,DR Congo (Zaire),RCD,"In 2003, South Africa hosted continued talks between the parties. Ketumile Masire acted as the chief mediator, but Thabo Mbeki, acting as the Chairman of the AU, and Moustapha Niasse, acting as the Special Envoy of the Secretary-General of the UN on the Inter-Congolese Dialogue, were also involved in the peace talks. ",South Africa,2003,1,2003,12,South Africa; AU; UN,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,,,,0,0,0,1
283,586,586-19,DR Congo (Zaire),RCD,"On 6 March, after 11 days of talks in Pretoria, a draft constitution and a memorandum on the military and security arrangements during the transition period was adopted. ",South Africa,2003,3,2003,3,South Africa; AU; UN,0,0,0,1,1,0,0,0,0,0,1,1,1,0,Draft Agreement,2003,3,6,0,0,0,1
283,586,586-20,DR Congo (Zaire),RCD,"In late March, talks were held on integrating rebels into the DRC armed forces and on security measures during the transition period. ",South Africa,2003,3,2003,3,South Africa; AU; UN,0,0,0,1,1,0,0,0,0,0,1,0,0,0,,,,,0,0,0,1
283,586,586-21,DR Congo (Zaire),RCD,"On 2 April 2003, a peace agreement was concluded that confirmed all the previous agreements: the Inter-Congolese Political Negotiations - The Final Act.",South Africa,2003,4,2003,4,South Africa; AU; UN,0,0,0,1,1,0,0,0,0,0,1,1,1,0,Inter-Congolese Political Negotiations - The Final Act,2003,4,2,0,0,0,1
283,586,586-22,DR Congo (Zaire),RCD," In August 2004, the RCD left the Government of DRC for a short period after the Gatumba massacre of Congolese Tutsi refugees in Burundi in August 2004. On 1 September, they joined the Government again after South African President Thabo Mbeki held crisis talks with all parties.",South Africa,2004,9,2004,9,South Africa,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,0,0,0,1
283,588,588-1,DR Congo (Zaire),CNDP,"The Congrès National pour la Défense du Peuple (CNDP) (English: National Congress for People’s Defense) led by General Laurent Nkunda Mihigo, a Kiynarwanda-speaking Tutsi from North Kivu, took up arms against the Government of the DRC in January 2006. Nkunda had been part of the RCD-Goma, but joined the national army after the peace process in 2003. Yet, rejecting the authority of the government, he defected and occupied Bukavu in May 2004. The UN negotiated his withdrawal from South Kivu, but in 2005, he called for overthrowing Kabila and quickly gathered support from RCD-Goma soldiers that defected from the national army. His troops clashed with the national army in January and August 2006. It was not until November 2006 that the conflict escalated beyond 25 battle-related deaths when CNDP attacked the DRC army in Sake (North Kivu). The UN called for talks between CNDP and the DRC government. The latter sent his interior minister, General Denis Kalume, to start the talks.  On 29 December 2006, the United Nations mission negotiated a ceasefire between the two sides. ",,2006,12,2006,12,UN,0,0,0,1,0,0,0,0,0,0,1,1,0,1,Ceasefire,2006,12,29,182,1,0,0
283,588,588-2,DR Congo (Zaire),CNDP,"On 1 January 2007, Rwanda mediated talks in Kigali between Laurent Nkunda representing CNDP and General Denis Kalume Numbi representing the Government of the DRC. The talks led to an informal agreement to integrate Nkunda’s fighters into the government forces located in North Kivu to carry out operations against the Forces démocratiques de libération du Rwanda (FDLR) (English: Democratic Forces for the Liberation of Rwanda). They had agreed that Nkunda’s troops would be integrated into the national army with the system of Brassage, meaning that troops loyal to him would be mixed with troops loyal to the central government. However, rather than diluting Nkunda’s influence, this deal extended his influence beyond his original sphere of influence. It was agreed that if the FDLR would be defeated, the Banyamulenge refugees would be able to return to the DRC and Nkunda would go into exile. Yet, with armed violence escalating throughout the first half of 2007, the UN took a firmer stance and publically called the CNDP as “the single most serious threat to stability in the DR Congo” in July 2007. ",Rwanda,2007,1,2007,1,Rwanda,0,0,0,0,1,0,0,0,0,0,1,0,0,0,,,,,516,1,0,0
